product_id,product_category,segment
1e9e8ef04dbcff4541ed26657ea517e5,perfumery,Home_and_Living
3aa071139cb16b67ca9e5dea641aaa2f,art,Entertainment_and_Leisure
96bd76ec8810374ed1b65e291975717f,sports_leisure,Entertainment_and_Leisure
cef67bcfe19066a932b7673e239eb23d,baby,Fashion_and_Lifestyle
9dc1a7de274444849c219cff195d0b71,housewares,Home_and_Living
41d3672d4792049fa1779bb35283ed13,musical_instruments,Entertainment_and_Leisure
732bd381ad09e530fe0a5f457d81becb,cool_stuff,Entertainment_and_Leisure
2548af3e6e77a690cf3eb6368e9ab61e,furniture_decor,Home_and_Living
37cc742be07708b53a98702e77a21a02,home_appliances,Home_and_Living
8c92109888e8cdf9d66dc7e463025574,toys,Entertainment_and_Leisure
14aa47b7fe5c25522b47b4b29c98dcb9,bed_bath_table,Home_and_Living
03b63c5fc16691530586ae020c345514,baby,Fashion_and_Lifestyle
cf55509ea8edaaac1d28fdb16e48fc22,musical_instruments,Entertainment_and_Leisure
7bb6f29c2be57716194f96496660c7c2,furniture_decor,Home_and_Living
eb31436580a610f202c859463d8c7415,construction_tools_safety,Industry_and_Tools
3bb7f144022e6732727d8d838a7b13b3,sports_leisure,Entertainment_and_Leisure
6a2fb4dd53d2cdb88e0432f1284a004c,perfumery,Home_and_Living
a1b71017a84f92fd8da4aeefba108a24,computers_accessories,Electronics_and_Technology
a0736b92e52f6cead290e30b578413b6,furniture_decor,Home_and_Living
f53103a77d9cf245e579ea37e5ec51f0,bed_bath_table,Home_and_Living
1c1890ba1779090cd54008a3c3302921,furniture_decor,Home_and_Living
518ef5de2c2b3a255e326a4594ba15d9,bed_bath_table,Home_and_Living
e3e020af31d4d89d2602272b315c3f6e,health_beauty,Fashion_and_Lifestyle
8b41fbc2b984a12030090112324d1bc4,baby,Fashion_and_Lifestyle
d03bd02af9fff4b98f1c972315e5e9ef,furniture_decor,Home_and_Living
8ba4f2a4ae695d26e5626c1bf710975e,housewares,Home_and_Living
f6574524b07d5bb753bab6f35abe2d06,luggage_accessories,Fashion_and_Lifestyle
